id	label	n_chars	sha256_text
d000	SATIRIK	199	7bb980a847176ab0ef93053531dd7ae3e0c626a977414a66f41e189045d0a250
d001	SATIRIK	199	3c4160dec31768f8dd7c0e2521d3eb0a6439a0ebc06860999ec79f7f6dfc731c
d002	SATIRIK	187	38baf1537f7a3595a2056e1d086cf8c16865187100c2f621d553792d94fe0c93
d003	SATIRIK	201	90326474efce5dd3fe1296118e3eafa34ca1157a3d7ee8bb534db06b4689115a
d004	SATIRIK	201	8dcb6b0f55186282bb4b37e55147db6b136fdf6378f440d015e57f4bc2e36a41
d005	SATIRIK	190	04d096df23ea1b1613987d0b171e61b02c3154e5e308ce57ad660d7a8d7285df
d006	SATIRIK	197	6eeaba02832381b727322859205f8dd17cb068fe491aff0c11514c748124609b
d007	SATIRIK	194	f47df45b78a06f678679ca8c3d86fccf2245959b692fa0e57fedb2fc664a479e
d008	SATIRIK	198	d41160c350e2a5cdcd0e59a9f9f61de22eb30d9bf64d6e7e81b3cbd7edec9d30
d009	SATIRIK	201	9084c6b74b86b2bffd36e5a724984a3a1e6565c5848d486e8cd185dbe91de246
d010	SATIRIK	194	e12981019aeab19e41e6448cc03ab3a5c54bd53cf26ca82881ba43f598fdc4b6
d011	SATIRIK	198	9fc74cd9c241941b7fd2feb76b303d7233991e77465797ca049a786ec6202d8f
d012	SATIRIK	192	3a5d497a4de88614ec76892a8147df4d08cfef22af75a66029d6c93d43bd98c2
d013	SATIRIK	199	7b4ab6dd21bf713a888b72d6adf6ee35f1d26146acba28dfef12b467ba3209ab
d014	SATIRIK	193	4ac1669a62c3198ce5568f9ccaf891d3530cb0073dad6223ec78e6ecca7804a4
d015	SATIRIK	197	0b9fe2196498e55934a1919715d75e572b74815c14a6c4c9d43dee897b330343
d016	SATIRIK	198	da068d4d51c29f3ca32a5d469ea2cdf910964ed43071983dc0b041e31e8854c9
d017	SATIRIK	200	bc30c055a140a8b34c71a7b57a5abed65f63866a46adcc3c3a4e86c8f95ea428
d018	SATIRIK	201	f9d70ca1498347a7e0c159b42f7ac07ac8295260b1831e447aef4c5e64d6eb4b
d019	SATIRIK	199	ed2466394ebbe9d271b4bac88caea67a040f0b9ec966b0d40c21f341cb355838
d020	SATIRIK	194	27532e37351cc99d270028f520302377b1f5b64dcea2280ceafe941c2236e8b6
d021	SATIRIK	201	9e3e31a3b539027178f854846889e33bcabcddddb542377a2aa5eaee0f545b05
d022	SATIRIK	189	7bc7d33338caac6c1012bcefef1b8f260a36efa5e5a4996977d100bc252e734b
d023	SATIRIK	200	cb368d05af315e93cf3ab6d4f2ef4610c858183320bc2cb60ecfd50ecf011727
d024	SATIRIK	190	87ff738f4cecdc0dd20020e7ff15579c5bd657bb217a7ebd2a9db57cd874bc54
d025	SATIRIK	198	9f15fb8f28b5d2f0d320c77b34f67a455cd74411dcc77c5cc2090cc5bc923b4e
d026	SATIRIK	200	e99b23a7e49d5e7fc468133610f330ca970f548f96c23e0614a82b86c0474355
d027	SATIRIK	191	6099f47449d7457da6d600c2e79397290a02fe525acdf98a51b48493d39d57d3
d028	SATIRIK	200	2a451ed83caaaca278fbfca9c5c86e98340c23519b2640ff3630d6301f4d6a2b
d029	SATIRIK	193	a0e9a771a05ad0441c858bd668afe7fc39eb42657a47c91243d8a70a50e95c1d
d030	SATIRIK	197	d8a35d8adaaf54d83b1fa4ef85cd16ee101d24a8d8780f077c4e71a3ec696005
d031	SATIRIK	195	6d8af7ffd10f0df5fbb8ed360b6e3ddfb3d65399bc0f013cd8bf10b080a8e62a
d032	SATIRIK	201	df087f4976d53ec105e9cc09bdeb64e67ef14128622062e91c7c188d87c0768a
d033	SATIRIK	197	542f70f0185c72d35b89e2c75fef39c739b55dac5a1af6f005b31208e53defdc
d034	SATIRIK	197	c90979aed1c60f9963f5e69cca19ee3b584383c50579f84537975b601d1b2901
d035	SATIRIK	193	a81dd9ce553393864e7886c15f032b61e3cd3a4d8ae4d01c1ba910fe333c6e62
d036	SATIRIK	197	e3fd1397a62f66f852faa1346ad13155cdcdbcafa127131df7c6d00c4e9b7642
d037	SATIRIK	198	0e0fe93aa56afdcdab2702a57e7958570e8dbbeafc9ca8c22890142d2c2ec3f5
d038	SATIRIK	192	88bab8d2dc9bc0fe1578c0eb632e7a3abc91352efc0f50a325b19206815ffac8
d039	SATIRIK	197	5644146b31111d0cd2e4c24f322868546867f02043972272a0f0aa9b56928cb9
d040	SATIRIK	196	760c1677b2a15d20093c03461131df1c1a22039056eb57b90217d1f901b02f29
d041	SATIRIK	199	0bca9610ee434b17c5ca5f56c66a860340bba32ee06bb3676a8499d78bf029d8
d042	SATIRIK	200	d5829dd691164191f84a73100b05c9c44b2b06f580cd5b57a1ffbbd61171a703
d043	SATIRIK	198	240c47963b7492c5f95fe22f4dc0f6ca5df454a7948b8a335f91c7e85ad3a1d4
d044	SATIRIK	195	7bcc1f3558c1d10a8bd51620d29d84451996dabaca4c5ab67edf5cc667cef0cc
d045	SATIRIK	201	9dce755a025c75952701f5d6f6d8ffdb4ce6d18828629538f4ebd5c5d1e58573
d046	SATIRIK	196	7607ca2d65fe0c1354ece32b57b1ddb19a52ebbaacbbbb7523a154e15c919e75
d047	SATIRIK	195	ebb74e2945fe211e2632a6bbc6343d12a2b71a1409d014a686faebfedbd31028
d048	SATIRIK	199	761d248d3d41a676bdf6fb60ae39bfe5c6d34c74158d77169e49221e24dc0f63
d049	SATIRIK	200	194fa4637808ec56a7ac5fde48fb184c0608496d0b3ba7c45990a7a3e653751d
d050	SATIRIK	201	3b188cc3334f05fdc58b77bfd477907f2540073a32dad42e3e06fb25ef6fceb8
d051	SATIRIK	197	3633d1052479f1428bdc0d381a160e6b7656e8634cd07ed54fa2148e80a19db3
d052	SATIRIK	201	487236820ba8af0725f57c357bb7cff1a679b36f64c00d6cde0c36614139c9d7
d053	SATIRIK	199	e19cde8cb5d7f596ca4249b320b688ad4af09701024d38a1196cc7f9d21c4dbb
d054	SATIRIK	193	e3d398152c4cf5bbfd4d5279651a72e95b0988765033a8170d7d3c882f23b275
d055	SATIRIK	199	cd051728fd11fae16b2b567f6480553296b1b4b06953571fefd34270cb35c11a
d056	SATIRIK	200	aa4788667f47ad5c798ce80e04245516a83923e1b53a83262553d51ad2ea0f83
d057	SATIRIK	198	ebf6bc4b5404aa3d9d9d45f66e8ab0cff1802004539c4cb3e6f8fa9420f956b6
d058	SATIRIK	193	32fe22a945d32a0c5558bc803d2c51443f7f606796fa6375517d608404a5f123
d059	SATIRIK	201	6b11b5d583be29f386c9d4cdf0a12a24c412b3213498f85200ba02bb299eeba3
d060	SATIRIK	198	1a67a7e86503f0cb42acae3a1f9cd52c6d348aae179417b16b59b9eb139dc473
d061	SATIRIK	200	950291325a8a115ac49c76cf245a81f6584f37f656ce7ea33aeea0720f9863d4
d062	SATIRIK	191	3623ab920c0cadf64e8614d5a238f59576683b5ebf2c12970705da62a2ae581e
d063	SATIRIK	197	b1c99a7d7af3135cb90aa0611cd7cb9b9040bd559b97416fbbd1ebceb051a56b
d064	SATIRIK	201	648b00103f22747cc8be65b98fb5f73fd50af720efbcb20ed8f47c589d09dfe3
d065	SATIRIK	196	58e7c86f0451b83803b84d918a8da1e274aefed81e962b12d906acf86ca95667
d066	SATIRIK	199	37ede57f9027d89915c0f2ccc9046b35e8457a1c8a34adc0c3ce2dcf56b31337
d067	SATIRIK	199	1d1b81ba8f958b372ee8b548a17d6ce17f9f82c5f135a558e3e579c9d30c4d94
d068	SATIRIK	199	fa92acaafdd32775062c3c3b12f5c374b29d906cff12c904f00f58e17caea3fa
d069	SATIRIK	199	6be5e9548466262b3dc27f7774b7ad57223ae56a5f5b581d0771699213209fec
d070	SATIRIK	194	cfec956fe46affb127ffa45b8f3fe3ca0b084c828b9a4ab6187069f854b54b04
d071	SATIRIK	193	5f391a120e9755f7ae5204337534327a0be57ce959b68ef527c146eeef5417e9
d072	SATIRIK	197	c9c3f696c67028ede918fab6ad7edf8c2b3e52b40597d99f9c4c0b566e71aff4
d073	SATIRIK	199	cdc40391ac09e8b7f2851a3bcec4283417a703021db5265c99082bb2049b0495
d074	SATIRIK	195	92e8d20960484a6f200ecf2f8567f5a48782345930aadf70a194bb164d867050
d075	SATIRIK	201	3ff8cb510c8b838aea5f64c9f87cd08aade3e2b017893f9c4b4e415b01de6d83
d076	SATIRIK	196	776957eec0443f0c1d778c14d2459077b9834d3f05e79757d27a6ca7bb9e52b1
d077	SATIRIK	197	394666b8537061c3cbf352a8ad1a42522a51c355c76d5d27d7f4dce1e186ba5e
d078	SATIRIK	194	e2a2b469a72478b6d2ac0af5a2081653dc626498a4b5e13d94ae95ae91eeddc5
d079	SATIRIK	197	ab3716096f97fb479a28a81eeba71fc8e79aa9d819e0450f2408894c46147479
d080	SATIRIK	189	ffd190abca97bc4da21de2dc516f88f43db2293f002ff2e1d2caf4e56eaf9fc1
d081	SATIRIK	199	d5e9791ec796924044e933c1fc6d24e99d79213c10bae11e42997947e2394fa3
d082	SATIRIK	196	6fe0bb5a440f54c7efef5380267abe012f915c07e34d59833f1faa60a821d160
d083	SATIRIK	199	0fc12592394fd24a0ced2cee17f8523d4140d72944298514f36fdfe938daa736
d084	SATIRIK	195	0402119e4239bbeec243ae32048c8118829522c2268640f20fe00e1b8908f4b9
d085	SATIRIK	197	7e714948961aa779e32f775a586bd7fbbfd1ad0352fccf591d90ed531e0be1f7
d086	SATIRIK	197	e1fa8e61206e5605d3fddf7a2eb15a14b199efce1ca802ebbd7a2b9c13d39a3e
d087	SATIRIK	193	b41dab18071cf28b6263aaad31b0f24decbe85fa9833650f23136854b1592563
d088	SATIRIK	194	07280eb25535927fa2ffdf9fcdb6ea07384c928590297909944649922d00f0c8
d089	SATIRIK	200	2bf8f2248cd9ef8f33ed38f014cbe67fb6e9af1d9e8d7fd0fec01513d9d50766
d090	SATIRIK	195	43ebf020bdca0ac46cfe90268d4ad535363bcaa4ab553144c0ac62c7c185ad12
d091	SATIRIK	198	4db60be5225be814758d8d8069314dc55d5c56cf44807e35d4ca617cef669c05
d092	SATIRIK	192	e4707c8827b0999da2d0372178f0a05076d4361465baaaffba99b93ff90d46dd
d093	SATIRIK	198	6a16956a4f9af6a89e418fe312806168b2a341138b82754c4b47e201872c8aa3
d094	SATIRIK	197	34b3a18daac97d9ef9ee5e0a26ca240b36e24cb7ae9338d67de7572f3abce23b
d095	SATIRIK	200	528ecc42fda555d52bb9a43fd2aa5163797e797eca80f507b6b54ca213fc4907
d096	SATIRIK	198	8ced8f900dcb5d0b826eca529c6bab345e683acb28bba87ceef82d1f55f8869c
d097	SATIRIK	200	bb9f4a22cfb96d4c5c32d8c1d6750711dc5c9663badc123a0fd19d481424496f
d098	SATIRIK	197	80f7db23106691f4efd296dd2b543cdc639b914df42f992c84c416b03bc04053
d099	SATIRIK	194	ec15f94eeda853322db2aa334ea7cf0f158c733636b1bd83def66b70f1b3335c
d100	SATIRIK	195	1b81882800796365d3df80c21120aeed6c523ac47c40c9f7e0fa23e79dc39fdc
d101	SATIRIK	200	44b2f8508c1d1a0505a1b685a49311c36d473ad03b2f9425e65d33cc54ae6279
d102	SATIRIK	200	0f5b1482f65e1fc746f23f32c3421d4f5b6b8bb1083161bade11d4be1de60557
