id	label	n_chars	sha256_text
s1433	SATIRIK	201	f8fab9a8f4aa8084bd7b298b2952b4f690f319ee5d3c2a36bc224649857d2eb4
a2090	GERCEK	199	93e258e565780a945517181059fbc41952a1b63cd26a09d8af64f48ab8fe528c
a0021	GERCEK	196	1e709e983eff5247faadef41e30886fac473ebc4770fffe1361db37eaa9e56d8
s1449	SATIRIK	201	20a2be4d92449438d809cc8d539f3dafb9f1d67604d096502a5adc139368aa1c
a2053	GERCEK	195	03f35e0a8193b95b4650f62b57f22fa97ca246eea0d636f373cdb6c49197d0e1
a0377	GERCEK	201	d9fc0e3906fce238e5f764cb2e7ad052966c5c19cfb62021b3f52dca29169789
s1132	SATIRIK	201	ce9208955639fb61b99bd83384a6e84b3be716b5f01a927d991dfdec4e175562
a1318	GERCEK	196	d101d6acf6e092bb52fbcfb046ec8c3f1dfc0be8893b83a4525024181e26f0b3
s1593	SATIRIK	199	a61da28fd6f605352ee6363227a072cbb7f35d2ef24f10dd23d309e483378878
s0864	SATIRIK	197	ccbdca53763ece3198a56826f029039b0b357dd6637114fad4b50fa1bf3cb5fe
a2716	GERCEK	195	9f84e1f44a3d2859931aa521b6e55b04105ea1ca44ee730e41a8130444594216
a2585	GERCEK	198	b880d5743f8c62dbeeb8e01ca6d437565564f760c064e72134d1df3777b420e3
s0957	SATIRIK	201	ca15e1d1b10b63f0a932b4da5d55641eb31c3b9ff8e81c32e1ebec95fb32ed1d
s1519	SATIRIK	195	53734677d0a25cb8f7dad5c71e2a83f29cbf738c315630ff9a0eb6c4b8c45d28
s1562	SATIRIK	197	e57efdb5a23a2d48a228e2a4d7ec0e51dff3bd34e02ad88df5d65c87f155864b
s0891	SATIRIK	197	f992dad5fcd44b1ce67e99bf412cc2938236684c773d2d52d1e7a6a424464f9a
s0527	SATIRIK	196	a2f60a185bfc862b8a7787e0f66f2094a20ac5f00cf3326115dd1a04e0b79703
s1129	SATIRIK	201	76730046658d1dac99dd6fdd3a97d46fe390efe31ac4bd61980a4c9da79305ae
s0597	SATIRIK	201	542311708dc75f45bb3437e6d5a66df237e06e664832c23dba1d4df25a306b84
a0735	GERCEK	198	1c8e5ea1faacf48ddd077197c8cea4da15fd2a4feaf088b94a62a2e8ba667272
a0910	GERCEK	198	40935900c802146ed8fff4e63353f7aa0eff1ae0f55e110bd09f74bc8dc63904
a0396	GERCEK	200	c588a0202da1dfca5fa48323de1c174a2ac6bb024c0d692bc4c94606888ff2d6
s0837	SATIRIK	199	a8619326eccf1a726159a8d2e22d2f8cb1d9418d8a8f2033925e20d82efe866e
a1516	GERCEK	199	2f743ad9fa3481008e36da60cc024a5e2012b280cb2493a5a0e67d7d29d3aa36
a3087	GERCEK	200	66118dd4d539a17e8fa96532432a1482132367ed6ed0e22d388ea2b3cbaccfd5
a2987	GERCEK	193	dd9acba103875fdb1b9cfb69a121e98c2de149590b30fd91dae305a95fde06bb
a2074	GERCEK	190	ea09eaa6df5565ede8aafe1997aa7ac2f5ebc6c447edcf325cc1cea0ce3bc4ba
a3173	GERCEK	200	0dab74e06f1dcb2e1d31f4df5dd655b61a2e246a40873271d0682664a163b9f2
a0818	GERCEK	201	2dd06a48abc96bc2f7566a0951698121d4e21baf58f884fb202570f3d3786b24
a4755	GERCEK	192	8d358154716e4eb4805c45c38724d4992eadb0799d05628e819663a6d66ec63e
a4326	GERCEK	200	0c0271be414f5e9389297ef6d0879c56fc583838fab5941b2a1a483d30e63c76
a3656	GERCEK	198	a4819eacb2915ad1bc0f7e1da22d10e9316236360c2aca20f8c6539a70eddb02
a0485	GERCEK	197	d45d002f8b35007a9e75fa8e83440aa9524234398ab18036da6b3cf910e6b3fd
a1374	GERCEK	198	e19162b150d4499f1282cd454f5d6115cd913e559a0eacf9ea6ebd763da68dc2
s1669	SATIRIK	201	05f2999e5befb5b35b958797d221c5a16a7ee008fd5d77c440ab542b92c332a1
a3030	GERCEK	199	d33ea4fe8f24f299eb4afcb0ea9d2b2014887f8aae04a134467a6eace3f57074
a3193	GERCEK	197	2207766ebe0d969975897a34da1e8fa8b440116cd90aadfc8d2cc9c9e377d421
s1385	SATIRIK	199	86bb8ee03d7c0a94793d70ee10bbe1a78bb9eafae662681e79ed33eb5b13fe7e
a4272	GERCEK	196	57b6420f1cc134d2ac8329998feec0800ee6b7391d33b4dd65961a587506f3f5
a1350	GERCEK	198	60147bafc8e4ee4f12d35b5cfecec314fe05d4a49aeb2608da410689da2929f4
s0357	SATIRIK	197	6feefa3e634453d09d27f77ed2e5531e785808384d892e898f56a5229cb6b61c
a2031	GERCEK	198	55814488fbb238d0d95633e07478707afcb7cad6d137076c47e0918b9340b669
a0340	GERCEK	199	ef5fa4a025bc20bba7b9175551f5f88bc3644370df4140628097fec025c06dfc
a4521	GERCEK	196	9a29f7c7a7e36530ff384bff5f81218eeabf1be01c1e37c7f7bf7aeb1c58e93d
s1618	SATIRIK	198	872b1705f2d50f14b1c7329db0d82647204d0234be5bc89d68bc5bb52dc9cfd1
s1359	SATIRIK	199	60361fa9f40d7f994786ae29fc3af2a891ac9d0991b33cfdbbda07614d125ab2
a0105	GERCEK	201	b7ded5fd4c1827564d06a9b971f855bbd360d40e8bece7e59caab5df95e7776f
s0108	SATIRIK	201	662d87ed74bce8098eae18b5ce31b69cf5a4f3fcb267dd4d5288947db2865cd7
a0048	GERCEK	190	2760d624e8b50e9fea702c300cdb5ae4abe35bdfadce7a2c0aa9189c6c1cbdb7
a1027	GERCEK	193	d710ccacea3003460e8b8d5cfdb3c2407831c4ac1f1c7fcdb8e9c341794898c3
s1209	SATIRIK	197	9f4eb2014e8368123e5f9099936660ba84f5316b5c86aa5ad5e4212d23457868
a1625	GERCEK	200	4f9c14d63bfc978a782aa8a9c4e2d41d247be10d7f42f4de18b56340d03947e9
a4650	GERCEK	189	ddc4d8ce7568fc523d5474efbfccd9ee439d27e55cd03c54a3eb9dcde623fb0b
a2264	GERCEK	198	62ad3d1d8149080c22a94200c443c7a61e2861d59658c419bec132cf08e452cc
s1169	SATIRIK	194	4e81d2f114b685330aef49536438ab30b87a1d9f90169963b0fb98675626e600
a0896	GERCEK	193	9566f49a1da7107b352d21d3cadd8bbdd5e1b91e23c5dd2c9d87b46ff737a0ec
a0810	GERCEK	200	6f18c99f6d13df86de02570333552cb5b52491a91bb6d5627181a87c53541e0c
a2988	GERCEK	192	2a8b8032241e5d05eb5bed2a814727f6a27ad99c8db3c1683b5b11250c1ba21f
a1167	GERCEK	190	18ff6d178b1a07a8a4a744572994d67d8282b674173551ab3202a9329f5b3575
a4231	GERCEK	200	9ab0dce6192784e5cf2fbd4ac00fff25402821c075822c7eeabf07330f9fbb1c
s1634	SATIRIK	198	548b656fbea8189ec19ceebac60da6d47f1843e14d77fe0faec9bb319e75a374
s0460	SATIRIK	194	42498ad439cdc955599cd32230edb40e3945f13dab8dd3b920d9075148d47e18
s0915	SATIRIK	201	6a54b8b01c7afb4153c114698650d939942f57d2cecb189b4ee7a76b591e444a
a0259	GERCEK	197	f9065447a6ad559676f1696778600b53df1725ff47a07fb7a4de922418fd0457
s0185	SATIRIK	197	201f9dcbbddfb21f37ab18e5791ed70970d1f46ea839b3617ba646291b520902
s0757	SATIRIK	200	56db7be1115b908a115b5528469b4f6cacfe5c6c2c70014d68283dcedfd0e617
s0509	SATIRIK	193	e9899b8c0fd64722ea62a3710e78ad2e18eff94f80c1e3982f65ea181d536d04
a4575	GERCEK	199	f5b1a8fd61ae737c81fa3455d6c3597a3288e0b921c4fc9855c546326f0ed769
s0047	SATIRIK	194	cefb1687e98224902ca1795c0057df9b2a18080f94376ce14c6fa7fdb7474658
a1554	GERCEK	195	955f94b8604a77d310de0f60dc3c750bd66a72281449bcd2d7d401cd8c6f00b7
a2312	GERCEK	201	1986b482a310a378064794efa4be210b64d3a55e963ff18caa1052f31fc108ed
a2555	GERCEK	197	ee8526926ff2b7556751777c68b8cc01aacd7c610c8cb19e6b7f8aee26385bf4
a3711	GERCEK	197	ba7e4c0cb8b08580455b76ded9238315d805081622ece9b97e0478595b7fa093
s1128	SATIRIK	196	28f5edf620666e2f490e9338484de6ae91af25b59c999f428e15299a489432ab
a4725	GERCEK	197	7564e3c94bc009d321e679a1fb12231a32385b782a7b3cfb890ce644229ed343
s1315	SATIRIK	194	0035f78a71d4d576f9ddd46e8c3610c8a57b58fa9d8c5d571f013d125a3137e0
a1709	GERCEK	199	7ab386fe01f93346f03b6fd3fecae59bd1b11d3903f099271785d5ead8a33eda
s0570	SATIRIK	195	329b6fee67312a481fa21ccd56f763fa0230f19c15a1b0ec4f1a0b0ad236a347
s0250	SATIRIK	193	fcf1adac6bb60ec674dc842b3da5cec3c043462b365318a4ed343c314a0efa7f
a0478	GERCEK	201	f8cbc6cb627bd77bfe2247b9b1595814fc8842aca5f189a659a0ed1916bfdc03
a2081	GERCEK	199	1e65c01b64108b2e43e89afbe6adc568669563852c2f4be2a850346ff73e49d5
s1232	SATIRIK	193	7ac252999ab3ece8dba73d7707f5bc983eb1c1d694f832f5bcb2b43133d1967f
s0465	SATIRIK	197	1ccdca4e7b5ebec4de28b23394839b83a9358657ab692be5cd6f6c47097010da
s1997	SATIRIK	201	f8c945a1cc9140cf3ebe930e742a8cb99e1ef69150bd28bb19e3aa4f2fbad8a3
s0833	SATIRIK	198	aa9c6274d6470993dac3790c335a793ef661ad38e65cb454b9e72d4a579e41b9
a4362	GERCEK	200	ef92f50b8e31c2d34665acd8b6efd30bb90d82e17fed4fe350a4baaf8f818f63
a1344	GERCEK	198	6835d70156cc5c2bb887c96ca483da0f601ea71ac26319cfce021d2d8e92613c
s1529	SATIRIK	194	df38f21cd5929d4d1bf8d2c49dbc396ae334cb6ab84193b15873d6a38fce949a
a0362	GERCEK	200	14e81ea62e5922206fce8014d70fba281486f668335e9a17b70d349554108611
